tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
588,42:51.9,52:40.4,3185,City Hall,40.7177325,-74.043845,3269,Brunswick & 6th,40.72601173,-74.05038893,42596,Subscriber,1986,2
454,29:25.6,37:00.1,3679,Bergen Ave,40.72210379,-74.071455,3195,Sip Ave,40.7308971,-74.06391263,30360,Subscriber,1963,1
1893,27:44.7,59:18.6,3211,Newark Ave,40.72152515,-74.04630454,3267,Morris Canal,40.71241882,-74.03852552,47254,Subscriber,1961,2
874,42:55.8,57:30.1,3267,Morris Canal,40.71241882,-74.03852552,3199,Newport Pkwy,40.7287448,-74.0321082,48753,Subscriber,1991,1
266,26:47.3,31:13.7,3276,Marin Light Rail,40.71458404,-74.04281706,3205,JC Medical Center,40.71653978,-74.04963791,32526,Subscriber,1987,1
919,28:48.7,44:08.3,3277,Communipaw & Berry Lane,40.71435837,-74.06661093,3186,Grove St PATH,40.71958612,-74.04311746,33961,Subscriber,1976,1
1648,07:55.8,35:24.5,3638,Washington St,40.7242941,-74.0354826,3202,Newport PATH,40.7272235,-74.0337589,45683,Subscriber,1991,1
1086982,28:31.8,24:54.1,3269,Brunswick & 6th,40.72601173,-74.05038893,3186,Grove St PATH,40.71958612,-74.04311746,45550,Subscriber,1986,2
950,59:54.5,15:45.1,3276,Marin Light Rail,40.71458404,-74.04281706,3276,Marin Light Rail,40.71458404,-74.04281706,28364,Subscriber,1992,2
1978,01:03.1,34:01.8,3209,Brunswick St,40.7241765,-74.0506564,3209,Brunswick St,40.7241765,-74.0506564,45261,Subscriber,1982,1
324,01:15.0,06:39.7,3205,JC Medical Center,40.71653978,-74.04963791,3276,Marin Light Rail,40.71458404,-74.04281706,32526,Subscriber,1987,1
1925,12:39.0,44:44.6,3187,Warren St,40.7211236,-74.03805095,3203,Hamilton Park,40.72759597,-74.04424731,38906,Customer,1969,0
1494,32:12.2,57:07.0,3185,City Hall,40.7177325,-74.043845,3185,City Hall,40.7177325,-74.043845,31496,Subscriber,1982,1
